"stanice","natural","diesel","okres","kraj"
"Shell Czech Republic, a.s., Špitálská 1540, Slavko",37.7,36.9,"Vyškov","Jihomoravský"
"Unicorn, Hodějice 302",35.1,34.5,"Vyškov","Jihomoravský"
"LukOil, silnice 16, směr Trutnov, Jičín-Robousy 17",35.7,34.9,"Jičín","Královéhradecký"
"Benzina, silnice E50, Hodějice",35.7,35.6,"Vyškov","Jihomoravský"
"Benzina Plus, Slavkovská, Rousínovec",36.2,36.2,"Vyškov","Jihomoravský"
"Agip, Částkova, Plzeň",38.9,35.2,"Plzeň-město","Plzeňský"
"OMV, Lidická 1089/22, Plzeň",36.5,35.9,"Plzeň-město","Plzeňský"
"RS+Synek, Nesovice-Letošov 105",36.6,36.5,"Vyškov","Jihomoravský"
"Shell Czech Republic, a.s., Brněnská 25, Vyškov",36.9,36.9,"Vyškov","Jihomoravský"
"Agip, Kroměřížská 709, Vyškov",37.2,37.2,"Vyškov","Jihomoravský"
"Globus, silnice E49, Chotíkov u Plzně 385",34.8,33.9,"Plzeň-sever","Plzeňský"
"Benzina, Kostelecká, Brandýs nad Labem",35.9,34.9,"Praha-východ","Středočeský"
"RoBiN OIL, s.r.o., silnice E49, Chotíkov",35.8,34.9,"Plzeň-sever","Plzeňský"
"Benzina, Zábřežská, Šumperk",35.9,35.4,"Šumperk","Olomoucký"
"Agip, Vítězná 4, Šumperk",35.7,35.6,"Šumperk","Olomoucký"
"Shell Czech Republic, a.s., Koterovská 156, Plzeň",36.4,35.9,"Plzeň-město","Plzeňský"
"Shell Czech Republic, a.s., Vítězná, Kladno",37.4,36.9,"Kladno","Středočeský"
"Benzina, Rudé armády, Velké Losiny",35.9,35.7,"Šumperk","Olomoucký"
"Koloc Oil, 28. října 1542, Kladno-Švermov",34.5,33.5,"Kladno","Středočeský"
"Pasoil, 5. května 361, Pchery-Humny",35.8,34.7,"Kladno","Středočeský"
"Auko, Pěčín 287, Rokytnice v Orlických horách",36.8,35.8,"Rychnov nad Kněžnou","Královéhradecký"
"Agip, Tyršova 42, Ivanovice na Hané",36.9,36.5,"Vyškov","Jihomoravský"
"Delta Oil, Olomoucká 1693/17, Zábřeh",35.7,35.5,"Šumperk","Olomoucký"
"LukOil, Jesenická, Šumperk",36.2,35.5,"Šumperk","Olomoucký"
"ENT-Energotis, Loučná nad Desnou, Šumperk",35.9,35.7,"Šumperk","Olomoucký"
"Benzina, Československé armády, Zábřeh",36.9,36.5,"Šumperk","Olomoucký"
"Oil Team, náměstí Osvobození, Staré Město pod Sněž",34.9,35.4,"Šumperk","Olomoucký"
"Oil Team, Hlavní 73, Hanušovice",34.9,35.4,"Šumperk","Olomoucký"
"Oil Team, Na Pilníku 287, Štíty",35.9,36.5,"Šumperk","Olomoucký"
"OMV, Brněnská 214, Vyškov",36.9,36.9,"Vyškov","Jihomoravský"
"Benzina, Brněnská, Vyškov",36.9,36.9,"Vyškov","Jihomoravský"
"Karl Oil, Přáslavice-Kocourovec 2",38.9,38.9,"Olomouc","Olomoucký"
"Slovnaft, Olomoucká 4, Zábřeh",35.9,35.9,"Šumperk","Olomoucký"
"Shell Czech Republic, a.s., Olomoucká, Zábřeh",36.5,36.5,"Šumperk","Olomoucký"
"Shell Czech Republic, a.s., Pasteurova 16, Olomouc",37.3,36.7,"Olomouc","Olomoucký"
"Shell Czech Republic, a.s., Jesenická 1c, Šumperk",37.2,36.9,"Šumperk","Olomoucký"
"Vena Trade, Lázeňská, Bludov",33.8,33.4,"Šumperk","Olomoucký"
"Vena Trade, Jeremenkova 14, Šumperk",36,36,"Šumperk","Olomoucký"
"Shell Czech Republic, a.s., silnice 55, Krčmaň",37.3,36.6,"Olomouc","Olomoucký"
"Tank ONO, s.r.o., Revoluční, Nýřany",32.9,32.9,"Plzeň-sever","Plzeňský"
"ČS GOLD, Studená Loučka 92, Mohelnice",33.7,32.9,"Šumperk","Olomoucký"
"Benzina, Přerovská, Olomouc",35.8,34.7,"Olomouc","Olomoucký"
"Slovnaft, Přerovská, Olomouc",35.8,34.9,"Olomouc","Olomoucký"
"Pasoil, Hlavní 779, Tlučná",36.5,35.9,"Plzeň-sever","Plzeňský"
"RoBiN OIL, s.r.o., 28. října, Plzeň",36.9,35.9,"Plzeň-město","Plzeňský"
"Shell Czech Republic, a.s., Karlovarská 26, Plzeň",36.4,35.9,"Plzeň-město","Plzeňský"
"Benzina Plus, Plzeňská, Třemošná",36.8,36.2,"Plzeň-sever","Plzeňský"
"Shell Czech Republic, a.s., Hornoměcholupská 8, Pr",37.8,36.3,"Hlavní město Praha","Hlavní město Praha"
"OMV, U Prazdroje 1, Plzeň",36.9,36.5,"Plzeň-město","Plzeňský"
"Benzina, silnice R46, Bystročice-Žerůvky",37.2,36.7,"Olomouc","Olomoucký"
"PapOil, Zborovská 30, Plzeň-Doudlevce",37.4,36.8,"Plzeň-město","Plzeňský"
"Shell Czech Republic, a.s., U staré cihelny 8, Pra",36.9,36.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, silnice R35, odpočívka Nemilany, Nemilany",38.9,38.9,"Olomouc","Olomoucký"
"Tank ONO, s.r.o., Kutnohorská 76, Praha 10-Dolní M",32.9,32.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, Bohuňovice 655",37.9,35.5,"Olomouc","Olomoucký"
"Texaco, Přátelství, Praha 10-Uhříněves",36.5,35.9,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Švehlova, do centra, P",37.8,38.3,"Hlavní město Praha","Hlavní město Praha"
"ERNEKS/oil TEAM, Silnice směr Lipňany, Tršice",36.5,35.9,"Olomouc","Olomoucký"
"Slovnaft, Na Křepelce 96/1, silnice R35, směr Mohe",36.8,36.5,"Olomouc","Olomoucký"
"Shell Czech Republic, a.s., Bohdalecká, Praha 10-B",36.9,36.9,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Švehlova 2078, z centr",37.8,38.3,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Habrová 2, Praha 3-Žižkov",35.7,34.9,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Kališnická 970/4, Praha 3-Žižkov",35.7,35.9,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Přílepská 1692, Roztoky",36.3,35.5,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., Černá silnice 369, Mni",37.3,36.3,"Mladá Boleslav","Středočeský"
"Benzina Plus, Víta Nejedlého, Mnichovo Hradiště",34.9,34.2,"Mladá Boleslav","Středočeský"
"Albert ČS, Plzeňská 396, Králův Dvůr",35.5,35.5,"Beroun","Středočeský"
"Slovnaft, Jana Zajíce, Pardubice",36.7,35.7,"Pardubice","Pardubický"
"Shell Czech Republic, a.s., Na Drážce, Pardubice",36.4,35.9,"Pardubice","Pardubický"
"Shell Czech Republic, a.s., Teplická 302, Hranice",36.9,36.9,"Přerov","Olomoucký"
"MV Plus, Podleská, Praha 10-Uhříněves",34.9,34.5,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Bohdalecká 10, Praha 10-Bohdalec",36.5,35.3,"Hlavní město Praha","Hlavní město Praha"
"OMV, Švehlova 1376/34, Praha 10-Hostivař",37.8,38.3,"Hlavní město Praha","Hlavní město Praha"
"Euro Prim, Františka Diviše 7/609, Praha 10-Uhříně",34.9,34.5,"Hlavní město Praha","Hlavní město Praha"
"LukOil, Nad Vršovskou horou 88/4, Praha 10-Bohdale",36.2,35.3,"Hlavní město Praha","Hlavní město Praha"
"Rony Oil, Přemyslova 211, Kostelec nad Labem",34.9,33.8,"Mělník","Středočeský"
"DB9, Kutnohorská, Praha 10-Dolní Měcholupy",33.9,32.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Olšanská 2643/1a, Praha 3-Žižkov",35.9,35.5,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Boleslavská 294, Tišice-Chrást",35.6,34.9,"Mělník","Středočeský"
"Auto Jarov, Osiková 2, Praha 3-Žižkov",34.5,33.4,"Hlavní město Praha","Hlavní město Praha"
"Agip, Švehlova 1454, Praha 10-Zahradní město",37.8,38.3,"Hlavní město Praha","Hlavní město Praha"
"Koloc Oil, 5. května 3082, Varnsdorf",34.9,32.9,"Děčín","-stecký"
"Jaroslav Vondrák, 5. května 2892, Varnsdorf",34.9,33.8,"Děčín","-stecký"
"Noprosu, Strakonická 3242, Varnsdorf",34.9,33.9,"Děčín","-stecký"
"G7, Karlínská 3311, Varnsdorf",35,34,"Děčín","-stecký"
"PapOil, Karlovarská, Řevničov",34.9,34.5,"Rakovník","Středočeský"
"ČS Prokop Milan, Mšec 315",35.6,34.6,"Rakovník","Středočeský"
"Benzina, Karlovarská 1688, Nové Strašecí",35.9,34.9,"Rakovník","Středočeský"
"Martin Oil, Náchodská, Praha 9-Horní Počernice",35.7,34.7,"Hlavní město Praha","Hlavní město Praha"
"OMV, Kbelská 110, Praha 9-Letňany",37.7,37.2,"Hlavní město Praha","Hlavní město Praha"
"KM-Prona, Náchodská 2500/250, Praha 9-Horní Počern",36.2,35.2,"Hlavní město Praha","Hlavní město Praha"
"Agip, Strakonická, Praha 5-Baně",36.2,36.2,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Prosecká, Praha 9-Pros",37.7,38.3,"Hlavní město Praha","Hlavní město Praha"
"Eldostav, K Výtopně, Praha 5-Zbraslav",36.5,35.9,"Hlavní město Praha","Hlavní město Praha"
"Tannaco, Ve Žlíbku, Praha 9-Horní Počernice",36.8,36.5,"Hlavní město Praha","Hlavní město Praha"
"Slovnaft, Opavská 682, Hradec nad Moravicí",36.2,35.7,"Opava","Moravskoslezský"
"A1 Hunsgas, Studenec 311",35.7,34.9,"Semily","Liberecký"
"Koloc Oil, silnice R4, směr Praha, Líšnice 149",36.4,36.5,"Praha-západ","Středočeský"
"Vladimír Hrubý autodoprava, Zdibsko 164, Zdiby",35.2,34.2,"Praha-východ","Středočeský"
"Star-Benzina, Novovysočanská(z centra Praha 9-Vy",36.2,35.5,"Hlavní město Praha","Hlavní město Praha"
"ČS, Pod Harfou 3, Praha 9-Vysočany",33,34,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Řevnická, Mníšek pod Brdy",36.4,36.2,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., Freyova 4, Praha 9-Vys",37.7,38.3,"Hlavní město Praha","Hlavní město Praha"
"RoBiN OIL, s.r.o., Českomoravská 18, Praha 9-Vysoč",36.3,35.3,"Hlavní město Praha","Hlavní město Praha"
"Pražské Služby, Pod Šancemi 1, Praha 9-Vysočany",35.6,35.4,"Hlavní město Praha","Hlavní město Praha"
"CITI TANK a.s., U Nisy 4809/46, Jablonec nad Nisou",36.5,35.9,"Jablonec nad Nisou","Liberecký"
"Green-Pro, Hoštická 14, Klíčany",36.9,36.9,"Praha-východ","Středočeský"
"KM-Prona, Nový Bydžov-Zábědov",35.5,34.9,"Hradec Králové","Královéhradecký"
"PR-Pavel Růžička, Výpadová 14, Praha 16-Radotín",35.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, silnice R4, směr Strakonice, Líšnice",36.9,36.7,"Praha-západ","Středočeský"
"RoBiN OIL, s.r.o., silnice 15, Podsedice-Chrášťany",34.8,33.8,"Litoměřice","-stecký"
"PapOil, Vrchlického 823, Libochovice",34.9,33.9,"Litoměřice","-stecký"
"Medos, Českobrodská 831, Praha 9-Dolní Počernice",36.3,36.3,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Českomoravská 232, Praha 9-Vysočany",36.5,36.5,"Hlavní město Praha","Hlavní město Praha"
"Fraba Diesel, Českolipská 917/6, Litoměřice",35,34.5,"Litoměřice","-stecký"
"PapOil, Litoměřická, Hoštka",35.5,34.5,"Litoměřice","-stecký"
"Agip, Českolipská, Litoměřice",35.9,35.2,"Litoměřice","-stecký"
"Benzina, Poděbradská, Praha 9-Hloubětín",36.2,35.2,"Hlavní město Praha","Hlavní město Praha"
"Benzina, silnice 15, Úštěk-Lhota",35.9,35.2,"Litoměřice","-stecký"
"Avanti, Bělotínská, Hranice",36.7,36.9,"Přerov","Olomoucký"
"Luboš Šolc, silnice 246, Krabčice-Rovné 7",33.9,33.9,"Litoměřice","-stecký"
"KM-Prona, Slánská, Budyně nad Ohří",34.9,34.5,"Litoměřice","-stecký"
"OMV, Masarykova 3679, Havlíčkův Brod",36.9,35.9,"Havlíčkův Brod","Vysočina"
"Benzina Plus, Pražská 3565, Havlíčkův Brod",37.2,36.2,"Havlíčkův Brod","Vysočina"
"OMV, Humpolecká 20, Havlíčkův Brod",37.5,36.5,"Havlíčkův Brod","Vysočina"
"Avanti, Prosecká 647, Praha 8-Libeň",37.5,37.2,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Čuprova, Praha 9-Vysoč",38.2,37.5,"Hlavní město Praha","Hlavní město Praha"
"Daitech, Dušníky 84",32.8,32.8,"Litoměřice","-stecký"
"ČS, silnice 608, Račiněves",32.9,32.9,"Litoměřice","-stecký"
"Pasoil, Slunečná 590, Ledeč nad Sázavou",36.4,35.9,"Havlíčkův Brod","Vysočina"
"Agip, Průmyslová 5, Praha 9-Malešice",37.9,38.5,"Hlavní město Praha","Hlavní město Praha"
"ATP Petrol, náměstí prof. Babáka, Smidary",35.5,34.5,"Hradec Králové","Královéhradecký"
"G7, Beranových, Praha 9-Letňany",36.2,35.7,"Hlavní město Praha","Hlavní město Praha"
"Nikey, Koželská 679, Ledeč nad Sázavou",34.5,34.9,"Havlíčkův Brod","Vysočina"
"Shell Czech Republic, a.s., Lidická 3547, Havlíčků",38.5,37.2,"Havlíčkův Brod","Vysočina"
"PapOil, Sedlecká 1167, Sedlčany",36.5,36.2,"Příbram","Středočeský"
"Albert ČS, Strojírenská 3581, Havlíčkův Brod",37.7,36.2,"Havlíčkův Brod","Vysočina"
"LukOil, Žižkova 34, Havlíčkův Brod",37.7,36.2,"Havlíčkův Brod","Vysočina"
"První Horácká, Potštátská 2028, Hranice",35.2,34.5,"Přerov","Olomoucký"
"Bohemia Diesel, Žizkova, Roudnice nad Labem",34.9,34.5,"Litoměřice","-stecký"
"PapOil, Lovosice, Lukavecká 1115",35.8,34.9,"Litoměřice","-stecký"
"Čechotrans, Československé armády 1168, Hostivice",35.4,34.9,"Praha-západ","Středočeský"
"TANK ONO, Hornická 2500, Roudnice nad Labem",32.9,32.9,"Litoměřice","-stecký"
"OMV,U Terezínské Křižovatky 164, Terezín",35.9,35.5,"Litoměřice","-stecký"
"Shell Czech Republic, a.s., Žizkova 2493, Roudnice",37.8,36.6,"Litoměřice","-stecký"
"Ekomont Havel, Mlékojedská 2153/1, Litoměřice",34.5,34.5,"Litoměřice","-stecký"
"TOLOSANER a.s., Opavská 1, Dolní Benešov",35.4,34.9,"Opava","Moravskoslezský"
"Benzina, Pražská, Dobřichovice",36.7,36.4,"Praha-západ","Středočeský"
"Benzina, Hornická 2499, Roudnice nad Labem",32.9,32.9,"Litoměřice","-stecký"
"Benzina, U stadionu, Štětí",36.9,33.9,"Litoměřice","-stecký"
"Benzina Plus, Vodní, Lovosice",35.5,34.9,"Litoměřice","-stecký"
"Benzina, Žižkova 2496, Roudnice nad Labem",33.9,33.2,"Litoměřice","-stecký"
"Benzina, Želetická 25, Litoměřice",35.9,35.9,"Litoměřice","-stecký"
"Tank ONO, s.r.o., silnice 27, Havraň 3",32.9,32.9,"Most","-stecký"
"Auto Bouška, Litoměřická 766, Štětí",36.99,33.99,"Litoměřice","-stecký"
"ČS, Chřibská",36.9,35.4,"Děčín","-stecký"
"Autocentrum Kreans, Masarykova 4, Bohušovice nad O",35.9,35.5,"Litoměřice","-stecký"
"Benzina Plus, silnice 27, Záluží",36.9,36.2,"Most","-stecký"
"Shell Czech Republic, a.s., Humpolecká 1995, Pelhř",37.9,37.3,"Pelhřimov","Vysočina"
"Benzina, Nádražní 1930, Pelhřimov",36.4,35.8,"Pelhřimov","Vysočina"
"E.S.A.K., Čížkov",37.2,36.5,"Pelhřimov","Vysočina"
"Shell Czech Republic, a.s., Těšínská 2, Havířov",37.2,36.4,"Karviná","Moravskoslezský"
"LukOil, Pražská 2029, Pelhřimov",35.7,35,"Pelhřimov","Vysočina"
"PapOil, Kollárova 1717, Vlašim",36.5,35.4,"Benešov","Středočeský"
"PapOil, Sedlčanská, Sedlec-Prčice",36.7,35.9,"Benešov","Středočeský"
"Shell Czech Republic, a.s., Pražská 795, Votice",37.5,36.9,"Benešov","Středočeský"
"Benzina, Spojovací, Čelákovice",35.2,34.9,"Praha-východ","Středočeský"
"Benzina Plus, Riegrova, Vlašim",36.7,35.5,"Benešov","Středočeský"
"NC Trade, Průmyslová, Vlašim",36.7,35.5,"Benešov","Středočeský"
"Oktan, Klášterní, Votice",36.9,35.9,"Benešov","Středočeský"
"Benzina Plus, silnice E55, Bystřice u Benešova",37.5,36.9,"Benešov","Středočeský"
"Avanti, Nádražní 2105, Benešov",37.5,36.9,"Benešov","Středočeský"
"Pento, Husova 707, Konice",35.5,34.9,"Prostějov","Olomoucký"
"Marek Spedition, Vyšehrad 246, Konice",35.6,34.9,"Prostějov","Olomoucký"
"Top Tank F1 gas, Nová Ves v Horách-Mníšek",37.2,35,"Most","-stecký"
"Vinaco, Nová Ves v Horách-Mníšek 233",37.2,35,"Most","-stecký"
"Benzina, Štefánikova 596, Železný Brod",35.5,35.3,"Jablonec nad Nisou","Liberecký"
"Autospektrum Vorel, Hlavní, Horoušany-Horoušánky",35.9,34.9,"Praha-východ","Středočeský"
"ČS Sibřina, Sibřina",36.9,35.9,"Praha-východ","Středočeský"
"Trilobit, Hlavní 182, Tuklaty",35.9,35.9,"Kolín","Středočeský"
"Benzina Plus, Kolínská, Nymburk",34.9,33.9,"Nymburk","Středočeský"
"M a M Oil, Hlavní, Senice",35.9,35.2,"Nymburk","Středočeský"
"Benzina, Příbramská, Dobříš",35.9,35.9,"Příbram","Středočeský"
"Benzina, silnice E65, Harrachov",35.7,34.9,"Semily","Liberecký"
"RoBiN OIL, s.r.o., silnice 10, Harrachov-Nový Svět",35.7,34.9,"Semily","Liberecký"
"Acter Tank, Jana Švermy 1389, Smržovka",36.8,35.5,"Jablonec nad Nisou","Liberecký"
"PapOil, Krkonošská 917, Desná",34.9,35.5,"Jablonec nad Nisou","Liberecký"
"RoBiN OIL, s.r.o., Hlavní 1349, Smržovka",36.8,35.5,"Jablonec nad Nisou","Liberecký"
"Benzina, U Přeložky, Úvaly",35.9,35.9,"Praha-východ","Středočeský"
"Acter Tank, Zlatá Olešnice",34.9,34.1,"Jablonec nad Nisou","Liberecký"
"Benzina, Lnáře 252",34.9,34.9,"Strakonice","Jihočeský"
"Benzina, Plavy 2, Plavy",35.5,35.2,"Jablonec nad Nisou","Liberecký"
"Benzina, Pražská, Kostelec nad Černými Lesy",36.2,35.7,"Kolín","Středočeský"
"SIZ Velké Hamry 624, 46845",37.2,36.2,"Jablonec nad Nisou","Liberecký"
"Vena Trade, Rolsberská, Olomouc",33.8,33.4,"Olomouc","Olomoucký"
"Silmet, Krásná Hora nad Vltavou 38",35.9,35.5,"Příbram","Středočeský"
"Benzina Plus, Železničářů 3, Havířov",36.5,36.2,"Karviná","Moravskoslezský"
"PRIM, Vrahovická 4356/12a, 796 01 Prostějov",33.9,33.5,"Prostějov","Olomoucký"
"Tank a Go, Praha-Průhonice",35.38,35.8,"Praha-západ","Středočeský"
"KM-Prona, Pražská 400, Kamenice-Nová Hospoda",36.5,35.9,"Praha-východ","Středočeský"
"PapOil, Ringhofferova 381, Velké Popovice",36.5,36.5,"Praha-východ","Středočeský"
"Albeva Morava, Šlechtitelů 782/4a, Olomouc",35.9,35.8,"Olomouc","Olomoucký"
"Tesco Stores ČR, a.s., Konečná 25, Držovice",34.9,34.2,"Prostějov","Olomoucký"
"Vena Trade, Protivanov 300",33.8,34.4,"Prostějov","Olomoucký"
"Unicorn, Olomoucká 361, Držovice",35.5,34.8,"Prostějov","Olomoucký"
"Slovnaft, Kojetínská 13, Prostějov",36.9,35.9,"Prostějov","Olomoucký"
"Shell Czech Republic, a.s., Říčanská 1818, Říčany",37.2,36.9,"Praha-východ","Středočeský"
"CV Petrol, Pražská 344, Dolní Břežany",37.9,37.9,"Praha-západ","Středočeský"
"CV Petrol, Zbraslavská 406, Dolní Břežany",37.9,37.9,"Praha-západ","Středočeský"
"Agip, Holická 1149/22, Olomouc",36.3,35.9,"Olomouc","Olomoucký"
"Albert ČS, Obchodní 111, Průhonice-Čestlice",34.5,34.3,"Praha-východ","Středočeský"
"MAKRO Cash & Carry ČR, s.r.o., U Makra 102, Průhon",35.8,35.1,"Praha-východ","Středočeský"
"Shell Czech Republic, a.s., Petrské náměstí 209, P",35.7,35.5,"Prostějov","Olomoucký"
"OMV, Olomoucká, Prostějov",37.2,36.4,"Prostějov","Olomoucký"
"KM-Prona, silnice 107, Stránčice",36.9,36.5,"Praha-východ","Středočeský"
"OMV, silnice R46, směr Vyškov, Prostějov-Žešov",38.9,38.9,"Prostějov","Olomoucký"
"Benaz, U Chirany 105, Tehovec",35.5,34.5,"Praha-východ","Středočeský"
"Benzina Plus, Černokostelecká 1903/1, Říčany",34.9,34.5,"Praha-východ","Středočeský"
"K+K Auto Centrum, Drahanovice 52",35.9,34.9,"Olomouc","Olomoucký"
"Novotný, Kelčice 140",36.7,35.9,"Prostějov","Olomoucký"
"OMV, Plumlovská, Prostějov",37.5,36.7,"Prostějov","Olomoucký"
"Benzhor, Nezamyslice 363",34.9,34.7,"Prostějov","Olomoucký"
"Benzina, Vrahovická, Prostějov",35.9,35.5,"Prostějov","Olomoucký"
"ČS, Císařská, Brodek u Prostějova",35.9,35.5,"Prostějov","Olomoucký"
"PHM Plus, Vídeňská 178, Vestec",36.9,36.5,"Praha-západ","Středočeský"
"RB Oil, Budějovická 1007, Jesenice",36.9,36.5,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., Vídeňská 343, Vestec",37.6,37.5,"Praha-západ","Středočeský"
"Zerogas Plus, 5. května, Měšice",35.1,33.9,"Praha-východ","Středočeský"
"Radius, Mělnická 433, Líbeznice",35.2,34.2,"Praha-východ","Středočeský"
"Avanti, Brněnská 10, Prostějov",37.2,36.4,"Prostějov","Olomoucký"
"PapOil, Nádražní, Lázně Kynžvart",36.5,36.5,"Cheb","Karlovarský"
"RMV, Máchova 451, Teplá",37.4,36.5,"Karlovy Vary","Karlovarský"
"B2oil, Hlavní 105, Bořanovice",35.4,33.9,"Praha-východ","Středočeský"
"Benzina, Setecká, Blovice",34.9,34.9,"Plzeň-jih","Plzeňský"
"Armex Oil, Plzeňská 385, Velká Hleďsebe",34.9,33.9,"Cheb","Karlovarský"
"OMV, Plzeňská, Mariánské Lázně",37.9,36.2,"Cheb","Karlovarský"
"A1 Hunsgas, Brněnská, Kuřim",35.7,34.6,"Brno-venkov","Jihomoravský"
"AB Oil, Tyršova, Kuřim",35.9,34.8,"Brno-venkov","Jihomoravský"
"Tohoz, Mochovská 1750, Čelákovice",35.4,35.2,"Praha-východ","Středočeský"
"FAU, Opavská 425, Velké Hoštice",35.5,34.8,"Opava","Moravskoslezský"
"PapOil, Smetanova 1094, Starý Plzenec",36.6,35.2,"Plzeň-jih","Plzeňský"
"PapOil, silnice 611, Přerov nad Labem",35.4,35.6,"Nymburk","Středočeský"
"Agro, Na Průhoně 159, Vestec",36.5,36.3,"Praha-západ","Středočeský"
"AVIA, Pražská, Kocanda",37.4,36.9,"Praha-západ","Středočeský"
"PapOil, Budějovická, Jesenice",37.2,36.9,"Praha-západ","Středočeský"
"Mars, Uhřická 378, Morkovice-Slížany",36.2,35.5,"Kroměříž","Zlínský"
"OMV, Meziříčská 1614, Bystřice pod Hostýnem",36.5,35.5,"Kroměříž","Zlínský"
"Motrans Střílky, Zámecká 192, Střílky",36.9,35.8,"Kroměříž","Zlínský"
"ZDAR, a.s., Novoměstská 13, Žďár nad Sázavou",36.7,35.9,"Žďár nad Sázavou","Vysočina"
"Shell Czech Republic, a.s., Hlučínská 45, Opava",35.9,35.9,"Opava","Moravskoslezský"
"Benzina, Palackého 226, Holešov",36.6,36.2,"Kroměříž","Zlínský"
"ČS, Masarykova 795, Koryčany",37.8,36.8,"Kroměříž","Zlínský"
"RoBiN OIL, s.r.o., Plzeňská 269, Praha 5-Motol",36.9,36.5,"Hlavní město Praha","Hlavní město Praha"
"ČS, Škrdlovice 246",34.9,33.9,"Žďár nad Sázavou","Vysočina"
"Q group, Břest 38",35.7,34.9,"Kroměříž","Zlínský"
"Unicorn, Santiniho, Žďár nad Sázavou",35.7,35.1,"Žďár nad Sázavou","Vysočina"
"Benzina, Kroměřížská, Hulín",36.5,35.9,"Kroměříž","Zlínský"
"Benzina, Na Hrázi, Kroměříž-Kotojedy",36.5,35.9,"Kroměříž","Zlínský"
"RoBiN OIL, s.r.o., Kojetínská 62a, Kroměříž",36.3,35.9,"Kroměříž","Zlínský"
"Shell Czech Republic, a.s., Záhlinická 1280, Hulín",36.5,35.9,"Kroměříž","Zlínský"
"OMV, silnice 19, Hamry nad Sázavou 366",36.9,36.2,"Žďár nad Sázavou","Vysočina"
"Dagmar Janoutová, tř.Čs.Odboje 615, Chrást",34.9,34.9,"Plzeň-sever","Plzeňský"
"OMV, Plzeňská, z centra, Praha 5-Košíře",36.9,37.5,"Hlavní město Praha","Hlavní město Praha"
"OMV, Plzeňská, do centra, Praha 5-Košíře",36.9,37.5,"Hlavní město Praha","Hlavní město Praha"
"Gabi, Holešov-Dobrotice",35.5,35.5,"Kroměříž","Zlínský"
"Benzina, Brněnská 46/2207, Žďár nad Sázavou",36.5,35.7,"Žďár nad Sázavou","Vysočina"
"Duba-Oil, Jožky Silného 1, Kroměříž",36.4,35.8,"Kroměříž","Zlínský"
"Benzina, Zlínská 1342, Holešov",36.5,35.9,"Kroměříž","Zlínský"
"Benzina Plus, Jihlavská, Žďár nad Sázavou",36.7,35.9,"Žďár nad Sázavou","Vysočina"
"OMV, Hulínská 2353/22, Kroměříž",36.5,35.9,"Kroměříž","Zlínský"
"Inform Tour, Plzeňská 130/221, Praha 5-Motol",36.5,35.8,"Hlavní město Praha","Hlavní město Praha"
"Agip, Chebská 20b, Mariánské Lázně",36.9,36.2,"Cheb","Karlovarský"
"Benzina, Rudé armády, směr Vamberk, Kostelec nad O",34.2,33.5,"Rychnov nad Kněžnou","Královéhradecký"
"Silmet, Čs. armády 523, Jílové u Prahy",36.5,36.5,"Praha-západ","Středočeský"
"Benzina, Rudé armády, směr Častolovice, Kostelec n",34.2,33.5,"Rychnov nad Kněžnou","Královéhradecký"
"LukOil, Horská, Trutnov",35.7,34.3,"Trutnov","Královéhradecký"
"Albert ČS, Poděbradská 1037, Nymburk",33.9,33.3,"Nymburk","Středočeský"
"PapOil, Poděbradská 558, Nymburk",33.9,33.3,"Nymburk","Středočeský"
"RoBiN OIL, s.r.o., Drahelická 2213, Nymburk",34.8,33.8,"Nymburk","Středočeský"
"K-Oil, V Pískovně, Kralupy nad Vltavou",35.5,35.3,"Mělník","Středočeský"
"Agip, Gerská 6, Plzeň",36.2,35.5,"Plzeň-město","Plzeňský"
"Benzina Plus, Mostní, Kralupy nad Vltavou",39.5,39.5,"Mělník","Středočeský"
"Globus, Sárská, Praha 5-Zličín",35.9,35,"Hlavní město Praha","Hlavní město Praha"
"Way24, Skandinávská 15a, Praha 5-Zličín",36.4,35.6,"Hlavní město Praha","Hlavní město Praha"
"OPOS CZ, Solnická 967, Dobruška",36.5,35.7,"Rychnov nad Kněžnou","Královéhradecký"
"AVIA, Pekařská 5, Praha 5-Jinonice",36.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"F9, Dukelských hrdinů, Rakovník",35.7,34.7,"Rakovník","Středočeský"
