"stanice","natural","diesel","okres","kraj"
"Silmet, Červená Hospoda 39",35.7,34.9,"Třebíč","Vysočina"
"A+S, U Rozvodny, Sokolnice",35.4,34.9,"Brno-venkov","Jihomoravský"
"Benzina, Chouranice, Český Brod",36.6,35.9,"Kolín","Středočeský"
"PapOil, Pražská 998, Třebíč-Borovina",35.4,34.6,"Třebíč","Vysočina"
"Shell Czech Republic, a.s., Pražská 84b, Letovice-",36.9,35.9,"Blansko","Jihomoravský"
"Benzina Plus, Rudná 3187, Ostrava-Zábřeh",36.9,36.4,"Ostrava-město","Moravskoslezský"
"RoBiN OIL, s.r.o., Olomoucká 55, Dvorce",34.7,33.7,"Bruntál","Moravskoslezský"
"Benzina, Malovarská, Velvary",34.9,34.2,"Kladno","Středočeský"
"Agip, Rudná, Ostrava",36.9,36.4,"Ostrava-město","Moravskoslezský"
"Agip, Svatoplukova, Praha 2-Nusle",36.9,36.5,"Hlavní město Praha","Hlavní město Praha"
"OMV, Brněnská 671, Modřice",35.7,35.5,"Brno-venkov","Jihomoravský"
"SETA-COS, Špidrova 93, Vimperk",34.9,34.5,"Prachatice","Jihočeský"
"Benzina, 1.máje, Vimperk",35.5,34.6,"Prachatice","Jihočeský"
"RoBiN OIL, s.r.o., Sušická, Vimperk",35.9,34.8,"Prachatice","Jihočeský"
"Agip, silnice 4, Strážný",36.5,34.8,"Prachatice","Jihočeský"
"Českomoravská olejářská, Horní Vltavice 116",36.2,34.8,"Prachatice","Jihočeský"
"OMV, silnice 4, Nová Houžná",36.5,34.8,"Prachatice","Jihočeský"
"PapOil, silnice 427, Polešovice",35.8,34.8,"Uherské Hradiště","Zlínský"
"Travel free, Strážný, silnice 4",36.5,34.8,"Prachatice","Jihočeský"
"Swiss Tank, Strážný-Řasnice, silnice 4",36.5,35.9,"Prachatice","Jihočeský"
"PapOil, Nýrská, Janovice nad Úhlavou",35.5,34.5,"Klatovy","Plzeňský"
"Charouz, Tovární 500, Žebrák",34.9,34.9,"Beroun","Středočeský"
"KAMU, náměstí, Jistebnice",35.3,35.3,"Tábor","Jihočeský"
"Tank ONO, s.r.o., ČSLA 733, Planá nad Lužnicí",32.9,32.9,"Tábor","Jihočeský"
"PapOil, Hranická 844, Lipník nad Bečvou",35.7,34.9,"Přerov","Olomoucký"
"OMV, Jedovnická 15, Brno-Líšeň",36.9,37.4,"Brno-město","Jihomoravský"
"Benzina, silnice 180, Hovorany 791",36.2,35.9,"Hodonín","Jihomoravský"
"Flodur, Pražská 250, Sušice",35.8,35.2,"Klatovy","Plzeňský"
"Victory, Třebihošť-Horní Dehtov",35.6,34.7,"Trutnov","Královéhradecký"
"PapOil, Kuks 45",36.3,35.3,"Trutnov","Královéhradecký"
"HOS, Nová 483, Soběslav",35.5,34.5,"Tábor","Jihočeský"
"Chemis engine, Brněnská, Mutěnice",36.4,35.9,"Hodonín","Jihomoravský"
"Benzina, Nádražní, Volyně",33.9,33.5,"Strakonice","Jihočeský"
"LukOil, Palackého 98, Jablonec nad Nisou",35.9,35.2,"Jablonec nad Nisou","Liberecký"
"Agip, Rezkova 1157, Jindřichův Hradec",34.4,34.2,"Jindřichův Hradec","Jihočeský"
"LukOil, Výškovická, Ostrava",35.9,34.7,"Ostrava-město","Moravskoslezský"
"Armex Oil, Výškovická, Ostrava-Zábřeh",36.2,34.9,"Ostrava-město","Moravskoslezský"
"Tank ONO, s.r.o., Stará Březovská, Sokolov",32.9,32.9,"Sokolov","Karlovarský"
"RoBiN OIL, s.r.o., Boleslavská 209, Stará Boleslav",35.8,34.8,"Praha-východ","Středočeský"
"K-Oil, Nádražní 2155, Sokolov",33.4,33.4,"Sokolov","Karlovarský"
"RoBiN OIL, s.r.o., Vítězná 2049, Sokolov",34.9,34.3,"Sokolov","Karlovarský"
"Petra, Domažlická 846, Klatovy",35.2,34.4,"Klatovy","Plzeňský"
"Benzina, Teplická 1772, z centra, Most",35.9,35.7,"Most","-stecký"
"Benzina, Teplická 1415, do centra, Most",35.9,35.7,"Most","-stecký"
"OMV, Tř. Maršála Malinovského, z centra, Uherské H",36.4,36.4,"Uherské Hradiště","Zlínský"
"Pento, Brodská 517, Semily-Podmoklice",35.5,35.2,"Semily","Liberecký"
"PapOil, Pražská 1137, Třeboň",36.8,35.9,"Jindřichův Hradec","Jihočeský"
"Silmet, Dobronická 1256, Praha 4-Kunratice",36.7,36.5,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Kunratická spojka 1169, Praha 4-Kunr",37.9,38.7,"Hlavní město Praha","Hlavní město Praha"
"Unicorn, Hranická 1406, Lipník nad Bečvou",35.3,34.1,"Přerov","Olomoucký"
"Benzina, Plzeňská, Tachov",36.5,35.2,"Tachov","Plzeňský"
"PapOil, Bílkova, Chýnov",35.5,35.2,"Tábor","Jihočeský"
"Agip, Vídeňská, Praha 4-Krč",37.9,38.7,"Hlavní město Praha","Hlavní město Praha"
"LukOil, Spojovací 380, Bílina",34.8,33.8,"Teplice","-stecký"
"RoBiN OIL, s.r.o., Pražská, Bílina",34.8,33.8,"Teplice","-stecký"
"Benzina, Pražská 1039, Moravské Budějovice",35.7,34.9,"Třebíč","Vysočina"
"Daitech, Proseč-Podměstí 69",35.7,35.2,"Chrudim","Pardubický"
"Shell Czech Republic, a.s., Bratislavská 1, Hodoní",36.2,35.9,"Hodonín","Jihomoravský"
"Albert ČS, Velkomoravská 1652/18, Hodonín",35.7,35.1,"Hodonín","Jihomoravský"
"OMV, Velkomoravská, Hodonín",36.2,35.2,"Hodonín","Jihomoravský"
"Slovnaft, Borská, Plzeň",35.9,35.2,"Plzeň-město","Plzeňský"
"OMV, Heršpická 11a, do centra, Brno-Štýřice",37.4,37.2,"Brno-město","Jihomoravský"
"OMV, Heršpická, z centra, Brno-Štýřice",37.4,37.2,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Heršpická, Brno-Štýřic",37.4,37.2,"Brno-město","Jihomoravský"
"Benzina, Týnišťská, Třebechovice pod Orebem",34.5,33.9,"Hradec Králové","Královéhradecký"
