,OBJECTID,ID,Y,X,NAZEV,AKTUALIZACE,CENA,JMENO
770,771,6979,49.222031,16.626839,"Shell Czech Republic, a.s., OkruûnÌ, Brno-Lesn·",04.11.2014 19:00,37.4,Shell Czech Republic
827,828,5232,49.23188,16.58262,"Agip, Hradeck·, Brno-Kr·lovo Pole",04.11.2014 18:00,37.4,Agip
1756,1757,5831,48.85583,16.07417,"»as Znojmo, Suchohrdelsk· 20, Znojmo",04.11.2014 12:27,37.4,»as Znojmo
183,184,6601,49.884952,14.708559,"OMV, silnice E55, smÏr Beneöov, PÏtihosty",05.11.2014 09:36,37.4,OMV
259,260,6495,49.199744,16.664978,"OMV, Jedovnick· 15, Brno-LÌöeÚ",05.11.2014 09:09,37.4,OMV
2048,2049,6982,49.208749,16.664001,"Shell Czech Republic, a.s., éaroöick·, Brno-MalomÏ",04.11.2014 08:38,37.3,Shell Czech Republic
1424,1425,5703,48.988676,14.478314,"Benzina Plus, Strakonick·, »eskÈ BudÏjovice",04.11.2014 14:52,37.3,Benzina Plus
1425,1426,6987,48.99743,14.48094,"Shell Czech Republic, a.s., Praûsk· t¯Ìda, »eskÈ B",04.11.2014 14:52,37.3,Shell Czech Republic
1650,1651,7124,49.216256,17.626569,"Shell Czech Republic, a.s., T¯Ìda Tom·öe Bati 258,",04.11.2014 13:07,37.3,Shell Czech Republic
1428,1429,5245,48.9925,14.46972,"Agip, Strakonick·, »eskÈ BudÏjovice",04.11.2014 14:51,37.3,Agip
1658,1659,5741,49.220737,17.707897,"Benzina Plus, Vizovick· 375, ZlÌn",04.11.2014 13:04,37.3,Benzina Plus
1045,1046,7113,49.447086,15.23217,"Shell Czech Republic, a.s., Humpoleck· 1995, Pelh¯",04.11.2014 16:44,37.3,Shell Czech Republic
2060,2061,5739,49.183149,16.672013,"Benzina Plus, Hviezdoslavova, Brno",04.11.2014 08:31,37.3,Benzina Plus
1670,1671,5344,49.219826,17.642759,"Agip, T¯Ìda Tom·öe Bati 5276, ZlÌn",04.11.2014 13:01,37.3,Agip
2063,2064,5195,50.0666669,14.438888,"Agip, BÏlehradsk·, Praha 2",04.11.2014 08:29,37.3,Agip
1729,1730,6942,49.217355,16.520025,"Roha, ätouraËova 1A, Brno-Bystrc",04.11.2014 12:33,37.2,Roha
1716,1717,5193,50.10906,14.43799,"Agip, U Elektr·rny, Praha 7-Holeöovice",04.11.2014 12:39,37.2,Agip
1967,1968,5247,48.816786,14.30197,"Agip, Chvalöinsk· 244, »esk˝ Krumlov",04.11.2014 10:04,37.2,Agip
976,977,6634,50.12811,14.50556,"OMV, Kbelsk· 110, Praha 9-LetÚany",04.11.2014 17:05,37.2,OMV
1787,1788,5481,49.223182,16.53755,"Benzina, Bystrck·, Brno-Bystrc",04.11.2014 11:59,37.2,Benzina
1021,1022,6997,49.59164,15.57918,"Shell Czech Republic, a.s., Lidick· 3547, HavlÌËk˘",04.11.2014 16:53,37.2,Shell Czech Republic
1012,1013,5436,50.11264,14.47903,"Avanti, Proseck· 647, Praha 8-LibeÚ",04.11.2014 16:54,37.2,Avanti
1596,1597,6687,50.173953,14.64845,"PapOil, Praûsk· 1825, Brand˝s nad Labem",04.11.2014 13:29,37.2,PapOil
1567,1568,7086,50.57814,15.07101,"Shell Czech Republic, a.s., silnice R10, smÏr Libe",04.11.2014 13:49,37.2,Shell Czech Republic
1565,1566,7087,50.57912,15.07079,"Shell Czech Republic, a.s., silnice R10, smÏr Prah",04.11.2014 13:50,37.2,Shell Czech Republic
1367,1368,5439,50.04919,14.40992,"Avanti, Strakonick· 2017, Praha 5-SmÌchov",04.11.2014 15:05,37.2,Avanti
297,298,6980,49.176618,16.602538,"Shell Czech Republic, a.s., Heröpick·, Brno-ät˝¯ic",05.11.2014 08:49,37.2,Shell Czech Republic
296,297,6499,49.174684,16.601893,"OMV, Heröpick·, z centra, Brno-ät˝¯ice",05.11.2014 08:49,37.2,OMV
295,296,6498,49.174131,16.602822,"OMV, Heröpick· 11a, do centra, Brno-ät˝¯ice",05.11.2014 08:49,37.2,OMV
537,538,5236,49.1835,16.57971,"Agip, Bauerova, Brno-st¯ed",05.11.2014 05:35,37.2,Agip
534,535,7676,49.175114,16.562225,"Agip, BÌteösk· 1, Brno-Nov˝ LÌskovec",05.11.2014 05:43,37.2,Agip
533,534,6984,49.173546,16.582304,"Shell Czech Republic, a.s., Jihlavsk·, z centra, B",05.11.2014 05:43,37.2,Shell Czech Republic
532,533,6983,49.17316,16.58115,"Shell Czech Republic, a.s., Jihlavsk·, do centra,",05.11.2014 05:43,37.2,Shell Czech Republic
529,530,6981,49.18529,16.61204,"Shell Czech Republic, a.s., OpustÏn·, Brno-Trnit·",05.11.2014 05:56,37.2,Shell Czech Republic
